phrase;adjective;nonun;note_to_phrase;adjective_definition;noun_definition
recumbent figure;recumbent;figure;;;
recurring doubt;recurring;doubt;;;
reddening dawn;reddening;dawn;;;
redoubled activity;redoubled;activity;;;
refining influence;refining;influence;;;
reflective habits;reflective;habits;;;
refractory temper;refractory;temper;;;
refreshing novelty;refreshing;novelty;;;
regal countenance;regal;countenance;;;
regretful melancholy;regretful;melancholy;;;
regular recurrence;regular;recurrence;;;
relatively mild;relatively;mild;;;
relaxed discipline;relaxed;discipline;;;
relentless justice;relentless;justice;;;
religious scruples;religious;scruples;;;
reluctant tolerance;reluctant;tolerance;;;
remarkable sagacity;remarkable;sagacity;;;wisdom
remedial measure;remedial;measure;;;
remorseless logic;remorseless;logic;;;
remote epoch;remote;epoch;;;
renowned achievement;renowned;achievement;;;
repeated falsification;repeated;falsification;;;
repelling vices;repelling;vices;;;
repentant sense;repentant;sense;;;
reprehensible action;reprehensible;action;;;
repressed ardor;repressed;ardor;;;
reproachful misgiving;reproachful;misgiving;;;
repulsive spectacle;repulsive;spectacle;;;
reputed disposition;reputed;disposition;;;
requisite expertness;requisite;expertness;;;
resentful flame;resentful;flame;;;
resilient spirit;resilient;spirit;;;
resistless might;resistless;might;;;
resolute daring;resolute;daring;;;
resonant gaiety;resonant;gaiety;;;
resounding blare;resounding;blare;;;
resourceful wickedness;resourceful;wickedness;;;
respectful condescension;respectful;condescension;;;
resplendent brightness;resplendent;brightness;;;
responsive throb;responsive;throb;;;
restless inquisitiveness;restless;inquisitiveness;;;
restorative influence;restorative;influence;;;
restricted meaning;restricted;meaning;;;
resultant limitation;resultant;limitation;;;
retaliating blows;retaliating;blows;;;
retarding influence;retarding;influence;;;
retreating footsteps;retreating;footsteps;;;
revengeful scowl;revengeful;scowl;;;
reverent enthusiasm;reverent;enthusiasm;;;
revolting cynicism;revolting;cynicism;;;
revolutionary tradition;revolutionary;tradition;;;
rhapsodical eulogy;rhapsodical;eulogy;;;
rhetorical amplification;rhetorical;amplification;;;
rhythmical movements;rhythmical;movements;;;
richly emblazoned;richly;emblazoned;;;
righteous indignation;righteous;indignation;;;
rightful distinction;rightful;distinction;;;
rigid propriety;rigid;propriety;;;
rigorous reservation;rigorous;reservation;;;
riotous clamor;riotous;clamor;;;
ripe reflection;ripe;reflection;;;
rising misgivings;rising;misgivings;;;
riveted attention;riveted;attention;;;
robust sense;robust;sense;;;
rollicking mirth;rollicking;mirth;;;
romantic solitudes;romantic;solitudes;;;
rooted habits;rooted;habits;;;
roseate tints;roseate;tints;;;
rough brutality;rough;brutality;;;
roundabout approach;roundabout;approach;;;
rousing chorus;rousing;chorus;;;
royal exultations;royal;exultations;;;
rubicund tinge;rubicund;tinge;;healthy rosiness;
rude awakening;rude;awakening;;;
rudimentary effort;rudimentary;effort;;;
rueful conclusion;rueful;conclusion;;;
ruffled feelings;ruffled;feelings;;;
rugged austerity;rugged;austerity;;;
ruling motive;ruling;motive;;;
rumbling hoarseness;rumbling;hoarseness;;;
ruminating mood;ruminating;mood;;;
rural imagery;rural;imagery;;;
rustic simplicity;rustic;simplicity;;;
rustling forest;rustling;forest;;;
ruthless commercialism;ruthless;commercialism;;;
sacerdotal preeminence;sacerdotal;preeminence;;priestly;
sacred tenderness;sacred;tenderness;;;
sacrilegious violence;sacrilegious;violence;;;
sacrosanct fetish;sacrosanct;fetish;;;
sadly disconcerted;sadly;disconcerted;;;
sagacious mind;sagacious;mind;; keen discernment, sound judgment;
sage reflections;sage;reflections;;;
saintly serenity;saintly;serenity;;;
salient feature;salient;feature;;;
salutary amusement;salutary;amusement;;;
sanctimonious hypocrite;sanctimonious;hypocrite;;feigning piety;
sane observer;sane;observer;;;
sanguinary measures;sanguinary;measures;;"eager for bloodshed; bloodthirsty";
sanguine expectations;sanguine;expectations;;"cheerfully confident; optimistic";
sarcastic incredulity;sarcastic;incredulity;;;
sardonic taciturnity;sardonic;taciturnity;;cynically mocking; habitually untalkative
satirical critic;satirical;critic;;;
satisfying equipoise;satisfying;equipoise;;;equilibrium
savage satirist;savage;satirist;;;
scalding jests;scalding;jests;;;
scandalous falsehood;scandalous;falsehood;;;
scant recognition;scant;recognition;;;
scathing satire;scathing;satire;;;
scattered distractions;scattered;distractions;;;
scholarly attainments;scholarly;attainments;;;
scientific curiosity;scientific;curiosity;;;
scintillating wit;scintillating;wit;;;
scoffing defiance;scoffing;defiance;;;
scorching criticism;scorching;criticism;;;
scornful negligence;scornful;negligence;;;
scriptural exegesis;scriptural;exegesis;;;Critical explanation or analysis
scrubby foreland;scrubby;foreland;;;
scrupulous fidelity;scrupulous;fidelity;;;
sculptured sphinx;sculptured;sphinx;;;
scurrilous blustering;scurrilous;blustering;;foul-mouthed;
searching eye;searching;eye;;;
secluded byways;secluded;byways;;;
secret dismay;secret;dismay;;;
sectarian sternness;sectarian;sternness;;;
secure anchorage;secure;anchorage;;;
sedentary occupation;sedentary;occupation;;;
seditious speaking;seditious;speaking;;arousing to action or rebellion;
seductive whisperings;seductive;whisperings;;;
sedulously fostered;sedulously;fostered;;persevering;
seeming artlessness;seeming;artlessness;;;
seething hate;seething;hate;;;
selective instinct;selective;instinct;;;
self-conscious activity;self-conscious;activity;;;
self-deprecating irony;self-deprecating;irony;;;
selfish vindictiveness;selfish;vindictiveness;;;
selfsame strain;selfsame;strain;;;
senile sensualist;senile;sensualist;;;
senseless gibberish;senseless;gibberish;;;
sensibly abated;sensibly;abated;;;
sensitively courteous;sensitively;courteous;;;
sensuous music;sensuous;music;;;
sententious wisdom;sententious;wisdom;;"terse and energetic; pithy";
sentimental twaddle;sentimental;twaddle;;;
sepulchral quiet;sepulchral;quiet;;;
sequestered nook;sequestered;nook;;;
seraphic promiscuousness;seraphic;promiscuousness;;;
serene triumph;serene;triumph;;;
serious resentment;serious;resentment;;;
serpentine curves;serpentine;curves;;;
servile obedience;servile;obedience;;;
sesquipedalian words;sesquipedalian;words;;long;
settled dislike;settled;dislike;;;
severe censure;severe;censure;;;
shabby imitation;shabby;imitation;;;
shadowy abstraction;shadowy;abstraction;;;
shady retirements;shady;retirements;;;
shallow sophistry;shallow;sophistry;;;
sham enthusiasm;sham;enthusiasm;;;
shambling gait;shambling;gait;;;
shamed demeanor;shamed;demeanor;;;
shameless injustice;shameless;injustice;;;
shapeless conformations;shapeless;conformations;;;
shaping impulses;shaping;impulses;;;
sharp rebuke;sharp;rebuke;;;
shattered reason;shattered;reason;;;
sheepish look;sheepish;look;;;
sheer boredom;sheer;boredom;;;
sheltering hypocrisy;sheltering;hypocrisy;;;
shifting panorama;shifting;panorama;;;
shimmering gaiety;shimmering;gaiety;;;
shining virtues;shining;virtues;;;
shivering soul;shivering;soul;;;
shocking rudeness;shocking;rudeness;;;
shoreless sea;shoreless;sea;;;
shortening days;shortening;days;;;
shrewd suspicion;shrewd;suspicion;;;
shrewish look;shrewish;look;;;
shrill dissonance;shrill;dissonance;;;
shrunken wisp;shrunken;wisp;;;
shuddering reluctance;shuddering;reluctance;;;
shuffling preliminaries;shuffling;preliminaries;;;
shy obeisance;shy;obeisance;;;
sibilant oath;sibilant;oath;;producing a hissing sound;
sickening jealousy;sickening;jealousy;;;
sidelong glance;sidelong;glance;;;
significant symbol;significant;symbol;;;
silent agony;silent;agony;;;
silken filaments;silken;filaments;;;
silly escapades;silly;escapades;;;
silvery sea;silvery;sea;;;
similar amplitude;similar;amplitude;;;
simple rectitude;simple;rectitude;;;
simulated rapture;simulated;rapture;;;
simultaneous acclamation;simultaneous;acclamation;;;
sincere hospitality;sincere;hospitality;;;
singular sensitiveness;singular;sensitiveness;;;
sinister forebodings;sinister;forebodings;;;
sinuous movements;sinuous;movements;;;
skeptical contempt;skeptical;contempt;;;
skillfully maintained;skillfully;maintained;;;
skulking look;skulking;look;;;
slackened tension;slackened;tension;;;
slavish imitation;slavish;imitation;;;
sledge-hammer blows;sledge-hammer;blows;;;
sleepless soul;sleepless;soul;;;
sleepy enchantment;sleepy;enchantment;;;
slender resource;slender;resource;;;
slight acceleration;slight;acceleration;;;
slovenly deportment;slovenly;deportment;;;
slow stupefaction;slow;stupefaction;;;
sluggish resolution;sluggish;resolution;;;
slumbering stream;slumbering;stream;;;
smacking breeze;smacking;breeze;;;
small aptitude;small;aptitude;;;
smiling repose;smiling;repose;;;
smirking commonplace;smirking;commonplace;;;
smoldering resentment;smoldering;resentment;;;
smothered sob;smothered;sob;;;
smug hypocrisy;smug;hypocrisy;;;
snappish impertinence;snappish;impertinence;;;
sneering jibes;sneering;jibes;;;
snowy whiteness;snowy;whiteness;;;
snug retreat;snug;retreat;;;
soaring ambition;soaring;ambition;;;
sobbing wail;sobbing;wail;;;
sober melancholy;sober;melancholy;;;
social banalities;social;banalities;;;
sociological bearing;sociological;bearing;;;
soft allurement;soft;allurement;;;
solemn emptiness;solemn;emptiness;;;
solid knowledge;solid;knowledge;;;
solidifying substance;solidifying;substance;;;
solitary grandeur;solitary;grandeur;;;
somber relations;somber;relations;;;
somewhat scandalized;somewhat;scandalized;;;
somnolent state;somnolent;state;;;
sonorous simplicity;sonorous;simplicity;;"full, deep, rich sound; impressive in style of speech";
sophistical argument;sophistical;argument;;;
soporific emanations;soporific;emanations;;inducing sleep;
sordid selfishness;sordid;selfishness;;;
sorely beset;sorely;beset;;;
sorrowful resignation;sorrowful;resignation;;;
soulless mechanism;soulless;mechanism;;;
sounding verbiage;sounding;verbiage;;;
sourly ascetic;sourly;ascetic;;;
sovereign panacea;sovereign;panacea;;;
spacious tracklessness;spacious;tracklessness;;;
sparkling splendor;sparkling;splendor;;;
specialized skill;specialized;skill;;;
specific characteristics;specific;characteristics;;;
specious artifice;specious;artifice;;having the ring plausibility but actually fallacious;
spectral fears;spectral;fears;;;
speculative rubbish;speculative;rubbish;;;
speechless surprise;speechless;surprise;;;
speedy extinction;speedy;extinction;;;
spendthrift prodigality;spendthrift;prodigality;;;
spirited vindication;spirited;vindication;;;
spiritual dazzlement;spiritual;dazzlement;;;
splendid irony;splendid;irony;;;
splenetic imagination;splenetic;imagination;;ill humor or irritability;
spontaneous challenge;spontaneous;challenge;;;
sporadic exception;sporadic;exception;;;
sportive gaiety;sportive;gaiety;;;
spotless honor;spotless;honor;;;
sprightly talk;sprightly;talk;;;
spurious enthusiasm;spurious;enthusiasm;;;
squalid distress;squalid;distress;;"Dirty and wretched; morally repulsive; sordid";
squandered talent;squandered;talent;;;
squeamish taste;squeamish;taste;;;
staggering surprise;staggering;surprise;;;
stainless womanhood;stainless;womanhood;;;
stale sciolism;stale;sciolism;;;superficial knowledge
stalwart defiance;stalwart;defiance;;;
stammered apology;stammered;apology;;;
starched sterility;starched;sterility;;;
starlit eminence;starlit;eminence;;;
startling eccentricity;startling;eccentricity;;;
starving proletariat;starving;proletariat;;;
stately stride;stately;stride;;;
statesmanlike person;statesmanlike;person;;;
statistical knowledge;statistical;knowledge;;;
statuesque immobility;statuesque;immobility;;;
staunch manhood;staunch;manhood;;;
steadfast obedience;steadfast;obedience;;;
stentorian voice;stentorian;voice;;extremely loud;
stereotyped commonness;stereotyped;commonness;;;
sterile hatred;sterile;hatred;;;
sterling sense;sterling;sense;;;
stern defiance;stern;defiance;;;
stiff conceit;stiff;conceit;;;
stifled convulsions;stifled;convulsions;;;
still solitudes;still;solitudes;;;
stilted bombast;stilted;bombast;;;
stimulating impression;stimulating;impression;;;
stinging reproach;stinging;reproach;;;
stinted endowment;stinted;endowment;;;
stipulated reward;stipulated;reward;;;
stock pleasantries;stock;pleasantries;;;
stoic callousness;stoic;callousness;;;
stolid obstinacy;stolid;obstinacy;;;
stony stare;stony;stare;;;
storied traditions;storied;traditions;;;
stormy passion;stormy;passion;;;
stout assertion;stout;assertion;;;
straggling association;straggling;association;;;
straightforward logic;straightforward;logic;;;
straightway vanished;straightway;vanished;;;
strained interpretation;strained;interpretation;;;
straitened circumstance;straitened;circumstance;;;
strange wistfulness;strange;wistfulness;;;
strenuous insistence;strenuous;insistence;;;
striking diversity;striking;diversity;;;
stringent statement;stringent;statement;;;
strong aversion;strong;aversion;;;
stubborn reality;stubborn;reality;;;
studious reserve;studious;reserve;;;
stultified mind;stultified;mind;;;
stunning crash;stunning;crash;;;
stupendous magnitude;stupendous;magnitude;;;
stupid bewilderment;stupid;bewilderment;;;
sturdy genuineness;sturdy;genuineness;;;
subaltern attitude;subaltern;attitude;;secondary;
subconscious conviction;subconscious;conviction;;;
subduing influence;subduing;influence;;;
sublime anticipations;sublime;anticipations;;;
submissive behavior;submissive;behavior;;;
subordinate pursuit;subordinate;pursuit;;;
subsidiary advantage;subsidiary;advantage;;;
substantial agreement;substantial;agreement;;;
subterranean sunlessness;subterranean;sunlessness;;;
subtle sophistry;subtle;sophistry;;;
subversive accident;subversive;accident;;;
successfully dispelled;successfully;dispelled;;;
successive undulations;successive;undulations;;;
succinct phrase;succinct;phrase;;;
sudden perturbation;sudden;perturbation;;;
sullen submission;sullen;submission;;;
summary vengeance;summary;vengeance;;;
sumptuously decorated;sumptuously;decorated;;;
superabundant energy;superabundant;energy;;;
superannuated coquette;superannuated;coquette;;retired; flirt
superb command;superb;command;;;
supercilious discontent;supercilious;discontent;;haughty disdain;
superficial surliness;superficial;surliness;;;
superfluous precaution;superfluous;precaution;;;
superhuman vigor;superhuman;vigor;;;
superior skill;superior;skill;;;
superlative cleverness;superlative;cleverness;;;
supernatural incident;supernatural;incident;;;
supine resignation;supine;resignation;;;
suppliant posture;suppliant;posture;;;
suppressed excitement;suppressed;excitement;;;
supreme exaltation;supreme;exaltation;;;
surging multitude;surging;multitude;;;
surly tone;surly;tone;;;
surpassing loveliness;surpassing;loveliness;;;
surprising intimacy;surprising;intimacy;;;
surreptitious means;surreptitious;means;;"clandestine; stealthy";
sustained vigor;sustained;vigor;;;
swaggering bully;swaggering;bully;;;
swampy flatness;swampy;flatness;;;
swarming population;swarming;population;;;
sweeping assertion;sweeping;assertion;;;
sweet peaceableness;sweet;peaceableness;;;
swelling magnitude;swelling;magnitude;;;
swift transition;swift;transition;;;
swinging cadence;swinging;cadence;;;
symmetrical brow;symmetrical;brow;;;
sympathetic insight;sympathetic;insight;;;
syncopated tune;syncopated;tune;;;
synthetic judgment;synthetic;judgment;;;
systematic interaction;systematic;interaction;;;
tacit assumption;tacit;assumption;;;
taciturn magnanimity;taciturn;magnanimity;;habitually untalkative;
tactical niceties;tactical;niceties;;;
tameless energy;tameless;energy;;;
tangible realities;tangible;realities;;;
tangled network;tangled;network;;;
tardy recognition;tardy;recognition;;;
tarnished reputation;tarnished;reputation;;;
tart temper;tart;temper;;;
tasteful gratification;tasteful;gratification;;;
tasteless insipidity;tasteless;insipidity;;;
tattered mendicant;tattered;mendicant;;;beggar
taunting accusation;taunting;accusation;;;
tawdry pretentiousness;tawdry;pretentiousness;;;
tearful sensibilities;tearful;sensibilities;;;
tearing gallop;tearing;gallop;;;
teasing persistency;teasing;persistency;;;
technical precision;technical;precision;;;
tedious formality;tedious;formality;;;
teeming population;teeming;population;;;
temerarious assertion;temerarious;assertion;;"presumptuous; reckless";
temperamental complacency;temperamental;complacency;;;
tempered pathos;tempered;pathos;;;
tempestuous breeze;tempestuous;breeze;;;
temporary expedient;temporary;expedient;;;
tenacious memory;tenacious;memory;;;
tender solicitude;tender;solicitude;;;
tense attention;tense;attention;;;
tentative moment;tentative;moment;;;
tepid conviction;tepid;conviction;;;
termagant wife;termagant;wife;;quarrelsome, scolding;
terrible sublimity;terrible;sublimity;;;
terrifying imprecations;terrifying;imprecations;;;curses
terse realism;terse;realism;;;
testamentary document;testamentary;document;;;
thankless task;thankless;task;;;
thawing laughter;thawing;laughter;;;
theological complexities;theological;complexities;;;
thirsting ear;thirsting;ear;;;
thorny pathway;thorny;pathway;;;
thorough uprightness;thorough;uprightness;;;
thoughtful silence;thoughtful;silence;;;
thoughtless whim;thoughtless;whim;;;
threadbare sentiment;threadbare;sentiment;;;
threatened wrath;threatened;wrath;;;
thrilling eloquence;thrilling;eloquence;;;
throbbing pride;throbbing;pride;;;
throneless monarch;throneless;monarch;;;
thronging images;thronging;images;;;
thundering rage;thundering;rage;;;
thwarted impulse;thwarted;impulse;;;
tideless depth;tideless;depth;;;
tigerish stealth;tigerish;stealth;;;
tightened ominously;tightened;ominously;;;
timid acquiescence;timid;acquiescence;;;
tingling expectation;tingling;expectation;;;
tinkling cymbal;tinkling;cymbal;;;
tipsy jocularity;tipsy;jocularity;;;given to joking
tip-toe curiosity;tip-toe;curiosity;;;
tireless egotism;tireless;egotism;;;
tiresome braggadocio;tiresome;braggadocio;;;pretentious bragging
titanic force;titanic;force;;;
toilsome pleasure;toilsome;pleasure;;;
tolerably comprehensive;tolerably;comprehensive;;;
tolerant indifference;tolerant;indifference;;;
tormenting thought;tormenting;thought;;;
torn asunder;torn;asunder;;;
torpid faculties;torpid;faculties;;;
tortuous labyrinth;tortuous;labyrinth;;;
tortured innocence;tortured;innocence;;;
totally engrossed;totally;engrossed;;;
touching pathos;touching;pathos;;;
tousled head;tousled;head;;;
towering pride;towering;pride;;;
traceable consanguinity;traceable;consanguinity;;;
trackless forest;trackless;forest;;;
traditional type;traditional;type;;;
tragic intensity;tragic;intensity;;;
trailing sweetness;trailing;sweetness;;;
tranquil grandeur;tranquil;grandeur;;;
transcendent power;transcendent;power;;;
transfiguring tints;transfiguring;tints;;;
transient emotion;transient;emotion;;;
translucent cup;translucent;cup;;;
transmuting touch;transmuting;touch;;;
transparent complement;transparent;complement;;;
treacherous intelligence;treacherous;intelligence;;;
treasured possessions;treasured;possessions;;;
trembling anxiety;trembling;anxiety;;;
tremendous domination;tremendous;domination;;;
tremulous sense;tremulous;sense;;timid or fearful;
trenchant phrase;trenchant;phrase;;forceful, effective, vigorous;
trifling superfluity;trifling;superfluity;;;
trite remark;trite;remark;;;
triumphant boldness;triumphant;boldness;;;
trivial conventionality;trivial;conventionality;;;
tropical luxuriance;tropical;luxuriance;;;
troubled inertness;troubled;inertness;;;
trudging wayfarer;trudging;wayfarer;;;
trustworthy source;trustworthy;source;;;
tumultuous rapture;tumultuous;rapture;;;
tuneful expression;tuneful;expression;;;
turbulent times;turbulent;times;;;
turgid appeal;turgid;appeal;;excessively ornate or complex;
twilight shadow;twilight;shadow;;;
twittered sleepily;twittered;sleepily;;;
twofold bearing;twofold;bearing;;;
typical excellence;typical;excellence;;;
tyrannical disposition;tyrannical;disposition;;;
ubiquitous activity;ubiquitous;activity;;;
ugly revelation;ugly;revelation;;;
ulterior purpose;ulterior;purpose;;;
ultimate sanction;ultimate;sanction;;;
ultrafashionable world;ultrafashionable;world;;;
unabashed insolence;unabashed;insolence;;;
unabated pleasure;unabated;pleasure;;;
unaccountable protervity;unaccountable;protervity;;;"peevishness; petulance"
unaccustomed toil;unaccustomed;toil;;;
unadorned style;unadorned;style;;;
unaffected pathos;unaffected;pathos;;;
unaffrighted innocence;unaffrighted;innocence;;;
unagitated abstraction;unagitated;abstraction;;;
unalloyed satisfaction;unalloyed;satisfaction;;;
unalterable determination;unalterable;determination;;;
unanimous acclamation;unanimous;acclamation;;;
unanswerable argument;unanswerable;argument;;;
unapologetic air;unapologetic;air;;;
unappeasable resentment;unappeasable;resentment;;;
unapproached supremacy;unapproached;supremacy;;;
unassailable position;unassailable;position;;;
unassuming dignity;unassuming;dignity;;;
unattainable perfection;unattainable;perfection;;;
unavailing consolation;unavailing;consolation;;;
unavoidable propensities;unavoidable;propensities;;;
unballasted eloquence;unballasted;eloquence;;"unsteady; wavering";
unbeaten track;unbeaten;track;;;
unbecoming behavior;unbecoming;behavior;;;
unbending reserve;unbending;reserve;;;
unbiased judgment;unbiased;judgment;;;
unblemished character;unblemished;character;;;
unblinking observation;unblinking;observation;;;
unblushing iteration;unblushing;iteration;;;
unbounded hospitality;unbounded;hospitality;;;
unbridgeable chasm;unbridgeable;chasm;;;
unbridled fancy;unbridled;fancy;;;
unbroken continuity;unbroken;continuity;;;
uncanny fears;uncanny;fears;;;
unceasing variation;unceasing;variation;;;
unceremonious talk;unceremonious;talk;;;
uncertain tenure;uncertain;tenure;;;
unchallenged supremacy;unchallenged;supremacy;;;
unchanging affection;unchanging;affection;;;
uncharitable ambition;uncharitable;ambition;;;
uncharted depths;uncharted;depths;;;
unchastised offense;unchastised;offense;;;
unclouded splendor;unclouded;splendor;;;
uncomfortable doubt;uncomfortable;doubt;;;
uncommonly attractive;uncommonly;attractive;;;
uncommunicable quality;uncommunicable;quality;;;
uncomplaining endurance;uncomplaining;endurance;;;
uncomprehending smile;uncomprehending;smile;;;
uncompromising dogmatism;uncompromising;dogmatism;;;
unconcealed aversion;unconcealed;aversion;;;
unconditioned freedom;unconditioned;freedom;;;
uncongenial task;uncongenial;task;;;
unconquerable patience;unconquerable;patience;;;
unconscious serenity;unconscious;serenity;;;
uncontrollable delight;uncontrollable;delight;;;
unconventional demeanor;unconventional;demeanor;;;
uncounted generations;uncounted;generations;;;
uncouth gambols;uncouth;gambols;;;
uncritical position;uncritical;position;;;
unctuously belaud;unctuously;belaud;;exaggerated, insincere; praise greatly
undaunted defender;undaunted;defender;;;
undazzled eyes;undazzled;eyes;;;
undefined anticipations;undefined;anticipations;;;
undeniable charm;undeniable;charm;;;
underlying assumption;underlying;assumption;;;
undeviating consistency;undeviating;consistency;;;
undignified peccadilloes;undignified;peccadilloes;;;small sin or fault
undiluted skepticism;undiluted;skepticism;;;
undiminished relish;undiminished;relish;;;
undimmed luster;undimmed;luster;;;
undisciplined genius;undisciplined;genius;;;
undisguised amusement;undisguised;amusement;;;
undismayed expression;undismayed;expression;;;
undisputed ascendency;undisputed;ascendency;;;
undistracted attention;undistracted;attention;;;
undisturbed silence;undisturbed;silence;;;
undivided energies;undivided;energies;;;
undoubted authenticity;undoubted;authenticity;;;
undue predilection;undue;predilection;;;preference
undulating hills;undulating;hills;;;
unduly troublesome;unduly;troublesome;;;
undying friendship;undying;friendship;;;
unearthly gladness;unearthly;gladness;;;
uneasy craving;uneasy;craving;;;
unembarrassed scrutiny;unembarrassed;scrutiny;;;
unembittered sweetness;unembittered;sweetness;;;
unending exactions;unending;exactions;;;
unenlightened zealot;unenlightened;zealot;;;
unenvied insipidity;unenvied;insipidity;;;
unequaled skill;unequaled;skill;;;
unequivocally resented;unequivocally;resented;;;
unerring fidelity;unerring;fidelity;;;
unessential details;unessential;details;;;
unexampled sweetness;unexampled;sweetness;;;
unexhausted kindliness;unexhausted;kindliness;;;
unexpected confidence;unexpected;confidence;;;
unfailing courtesy;unfailing;courtesy;;;
unfaltering glance;unfaltering;glance;;;
unfamiliar garb;unfamiliar;garb;;;
unfathomable indifference;unfathomable;indifference;;;
unfeigned assent;unfeigned;assent;;;
unfettered liberty;unfettered;liberty;;;
unflagging zest;unflagging;zest;;;
unflattering truth;unflattering;truth;;;
unflecked confidence;unflecked;confidence;;;
unfledged novice;unfledged;novice;;young bird without feathers necessary to fly;
unflinching zeal;unflinching;zeal;;;
unfolding consciousness;unfolding;consciousness;;;
unforced acquiescence;unforced;acquiescence;;;
unforeseen vicissitudes;unforeseen;vicissitudes;;;sudden or unexpected changes
unforgivable tragedy;unforgivable;tragedy;;;
unfounded conjecture;unfounded;conjecture;;;
unfulfilled longing;unfulfilled;longing;;;
ungainly figure;ungainly;figure;;;
ungarnished reality;ungarnished;reality;;;
ungenerously resolved;ungenerously;resolved;;;
ungenial temperament;ungenial;temperament;;;
ungovernable vehemence;ungovernable;vehemence;;;
ungracious temper;ungracious;temper;;;
ungrudging tribute;ungrudging;tribute;;;
unguessed riches;unguessed;riches;;;
unhallowed threshold;unhallowed;threshold;;;
unhampered expression;unhampered;expression;;;
unhappy predecessor;unhappy;predecessor;;;
unheeded beauties;unheeded;beauties;;;
unheroic measure;unheroic;measure;;;
unhesitating faith;unhesitating;faith;;;
unhindered flight;unhindered;flight;;;
unholy triumph;unholy;triumph;;;
uniform blending;uniform;blending;;;
unimaginable bitterness;unimaginable;bitterness;;;
unimpassioned dignity;unimpassioned;dignity;;;
unimpeachable sentiment;unimpeachable;sentiment;;;
unimpeded activity;unimpeded;activity;;;
uninstructed critic;uninstructed;critic;;;
uninterrupted process;uninterrupted;process;;;
unique personality;unique;personality;;;
universal reprobation;universal;reprobation;;;"condemned to hell; severe disapproval"
unjust depreciation;unjust;depreciation;;;
unknown appellations;unknown;appellations;;appellation = name, title, or designation;
unlettered laborer;unlettered;laborer;;;
unlikely contingency;unlikely;contingency;;;
unlimited opulence;unlimited;opulence;;;
unlucky dissembler;unlucky;dissembler;;;
unmanly timidity;unmanly;timidity;;;
unmastered possibility.;unmastered;possibility.;;;
unmeaning farce;unmeaning;farce;;;
unmeasured hostility;unmeasured;hostility;;;
unmellowed dawn;unmellowed;dawn;;;
unmelodious echoes;unmelodious;echoes;;;
unmerciful plundering;unmerciful;plundering;;;
unmingled consent;unmingled;consent;;;
unmistakably fabulous;unmistakably;fabulous;;;
unmitigated gloom;unmitigated;gloom;;;
unmixed astonishment;unmixed;astonishment;;;
unmodified passion;unmodified;passion;;;
unmurmuring sea;unmurmuring;sea;;;
unnecessary platitudes;unnecessary;platitudes;;;
unnumbered thousands;unnumbered;thousands;;;
unobtrusive deference;unobtrusive;deference;;;
unostentatious display;unostentatious;display;;;
unpalatable truth;unpalatable;truth;;;
unparalleled atrocities;unparalleled;atrocities;;;
unpardonable error;unpardonable;error;;;
unphilosophical dreamer;unphilosophical;dreamer;;;
unpleasant excrescence;unpleasant;excrescence;;;abnormal enlargement
unprecedented advance;unprecedented;advance;;;
unprejudiced intelligence;unprejudiced;intelligence;;;
unpretentious character;unpretentious;character;;;
unprincipled violence;unprincipled;violence;;;
unprofitable craft;unprofitable;craft;;;
unpurchasable luxury;unpurchasable;luxury;;;
unqualified submission;unqualified;submission;;;
unquenchable tenderness;unquenchable;tenderness;;;
unquestionable genius;unquestionable;genius;;;
unquestioning fate;unquestioning;fate;;;
unreasonable pretense;unreasonable;pretense;;;
unreasoning distrust;unreasoning;distrust;;;
unredeemable forfeit;unredeemable;forfeit;;;
unrefreshing sameness;unrefreshing;sameness;;;
unrelaxing emphasis;unrelaxing;emphasis;;;
unrelenting spirit;unrelenting;spirit;;;
unremembered winter;unremembered;winter;;;
unremitting toil;unremitting;toil;;;
unrepining sadness;unrepining;sadness;;;
unreproved admiration;unreproved;admiration;;;
unrequited love;unrequited;love;;;
unresentful disposition;unresentful;disposition;;;
unreserved assent;unreserved;assent;;;
unresisted authority;unresisted;authority;;;
unresolved exceptions;unresolved;exceptions;;;
unresponsive gloom;unresponsive;gloom;;;
unresting speed;unresting;speed;;;
unrestrained anger;unrestrained;anger;;;
unrestricted ease;unrestricted;ease;;;
unrivaled distinction;unrivaled;distinction;;;
unruffled concord;unruffled;concord;;;
unsatisfied yearning;unsatisfied;yearning;;;
unscrupulous adventurer;unscrupulous;adventurer;;;
unseasonable apology;unseasonable;apology;;;
unseemly mirth;unseemly;mirth;;;
unselfish fidelity;unselfish;fidelity;;;
unsettled trait;unsettled;trait;;;
unshakable foundation;unshakable;foundation;;;
unshrinking determination;unshrinking;determination;;;
unslackened volubility;unslackened;volubility;;;"ready flow of speech; fluent"
unsophisticated youth;unsophisticated;youth;;;
unsparing abuse;unsparing;abuse;;;
unspeakable delight;unspeakable;delight;;;
unspiritual tone;unspiritual;tone;;;
unspoiled goodness;unspoiled;goodness;;;
unstinted praise;unstinted;praise;;;
unsullied virtue;unsullied;virtue;;;
unsurpassed purity;unsurpassed;purity;;;
unswerving integrity;unswerving;integrity;;;
untameable energy;untameable;energy;;;
unthinkable hypothesis;unthinkable;hypothesis;;;
untiring energy;untiring;energy;;;
untold calamity;untold;calamity;;;
untoward circumstances;untoward;circumstances;;improper;
untrammeled expression;untrammeled;expression;;;
